,cells,total_score,chrom,start,end,strand,splice_motif,donor_seq,acceptor_seq,label_5_prime,label_3_prime,position_off_5_prime,position_off_3_prime,perfect_match_5_prime,perfect_match_3_prime,both_ends_transcripts,only_5_prime_transcripts,only_3_prime_transcripts,transcript_types,gene_ids,gene_names,transcripts_junc_5,transcripts_junc_3,gene_types
chr3_130706043_130709236_-,23,1572,chr3,130706043,130709236,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,['ENSMUST00000043937.8'],['ENSMUST00000043937.8'],['ENSMUST00000043937.8'],[],['ENSMUST00000197053.1'],"['protein_coding', 'TEC']","['ENSMUSG00000041084.8', 'ENSMUSG00000105466.1']","['Ostc', 'Gm42998']",['ENSMUST00000043937.8'],"['ENSMUST00000197053.1', 'ENSMUST00000043937.8']","['protein_coding', 'TEC']"
chr4_59035318_59039226_+,13,1629,chr4,59035318,59039226,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,['ENSMUST00000041160.12'],"['ENSMUST00000174664.1', 'ENSMUST00000041160.12', 'ENSMUST00000126507.1']",['ENSMUST00000041160.12'],[],"['ENSMUST00000126507.1', 'ENSMUST00000174664.1']","['processed_transcript', 'protein_coding']","['ENSMUSG00000092345.1', 'ENSMUSG00000038607.12']","['Gm20503', 'Gng10']",['ENSMUST00000041160.12'],"['ENSMUST00000126507.1', 'ENSMUST00000041160.12', 'ENSMUST00000174664.1']",['protein_coding']
chr4_59039358_59041074_+,14,2131,chr4,59039358,59041074,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000174664.1', 'ENSMUST00000041160.12', 'ENSMUST00000126507.1']","['ENSMUST00000174664.1', 'ENSMUST00000041160.12', 'ENSMUST00000126507.1']","['ENSMUST00000126507.1', 'ENSMUST00000041160.12', 'ENSMUST00000174664.1']",[],[],"['processed_transcript', 'protein_coding']","['ENSMUSG00000092345.1', 'ENSMUSG00000038607.12']","['Gm20503', 'Gng10']","['ENSMUST00000126507.1', 'ENSMUST00000041160.12', 'ENSMUST00000174664.1']","['ENSMUST00000126507.1', 'ENSMUST00000041160.12', 'ENSMUST00000174664.1']",['protein_coding']
chr5_31701977_31730966_+,10,602,chr5,31701977,31730966,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000201352.3', 'ENSMUST00000202815.3', 'ENSMUST00000201487.3', 'ENSMUST00000201592.3', 'ENSMUST00000201107.3', 'ENSMUST00000201202.3', 'ENSMUST00000114515.8', 'ENSMUST00000202293.3', 'ENSMUST00000200705.1']","['ENSMUST00000201352.3', 'ENSMUST00000202815.3', 'ENSMUST00000201487.3', 'ENSMUST00000201107.3', 'ENSMUST00000201202.3', 'ENSMUST00000114515.8', 'ENSMUST00000063813.10', 'ENSMUST00000071531.11', 'ENSMUST00000131995.6', 'ENSMUST00000202293.3', 'ENSMUST00000200705.1']","['ENSMUST00000201352.3', 'ENSMUST00000202293.3', 'ENSMUST00000201107.3', 'ENSMUST00000200705.1', 'ENSMUST00000114515.8', 'ENSMUST00000201487.3', 'ENSMUST00000201202.3', 'ENSMUST00000063813.10', 'ENSMUST00000202815.3']","['ENSMUST00000202033.1', 'ENSMUST00000200694.3', 'ENSMUST00000201592.3']","['ENSMUST00000131995.6', 'ENSMUST00000071531.11']","['nonsense_mediated_decay', 'processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000105617.4', 'ENSMUSG00000052139.18']","['Gm43809', 'Babam2']","['ENSMUST00000201352.3', 'ENSMUST00000202033.1', 'ENSMUST00000202293.3', 'ENSMUST00000201107.3', 'ENSMUST00000200705.1', 'ENSMUST00000114515.8', 'ENSMUST00000201592.3', 'ENSMUST00000201487.3', 'ENSMUST00000200694.3', 'ENSMUST00000201202.3', 'ENSMUST00000063813.10', 'ENSMUST00000202815.3']","['ENSMUST00000201352.3', 'ENSMUST00000202293.3', 'ENSMUST00000071531.11', 'ENSMUST00000201107.3', 'ENSMUST00000200705.1', 'ENSMUST00000114515.8', 'ENSMUST00000131995.6', 'ENSMUST00000201487.3', 'ENSMUST00000201202.3', 'ENSMUST00000063813.10', 'ENSMUST00000202815.3']","['processed_transcript', 'protein_coding']"
chr5_32738146_32738387_-,13,676,chr5,32738146,32738387,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000142779.7', 'ENSMUST00000061895.15', 'ENSMUST00000202283.4', 'ENSMUST00000201980.4', 'ENSMUST00000142957.5', 'ENSMUST00000071829.11', 'ENSMUST00000120591.7', 'ENSMUST00000144673.2', 'ENSMUST00000197787.4']","['ENSMUST00000061895.15', 'ENSMUST00000202283.4', 'ENSMUST00000201980.4', 'ENSMUST00000142957.5', 'ENSMUST00000120591.7', 'ENSMUST00000144673.2', 'ENSMUST00000197787.4']","['ENSMUST00000061895.15', 'ENSMUST00000142957.5', 'ENSMUST00000201980.4', 'ENSMUST00000144673.2', 'ENSMUST00000120591.7', 'ENSMUST00000197787.4', 'ENSMUST00000202283.4']","['ENSMUST00000142779.7', 'ENSMUST00000071829.11', 'ENSMUST00000200390.4']",[],"['nonsense_mediated_decay', 'protein_coding', 'retained_intron']","['ENSMUSG00000023452.19', 'ENSMUSG00000093574.1']","['Pisd', 'Gm20671']","['ENSMUST00000071829.11', 'ENSMUST00000200390.4', 'ENSMUST00000061895.15', 'ENSMUST00000142957.5', 'ENSMUST00000201980.4', 'ENSMUST00000144673.2', 'ENSMUST00000120591.7', 'ENSMUST00000197787.4', 'ENSMUST00000202283.4', 'ENSMUST00000142779.7']","['ENSMUST00000061895.15', 'ENSMUST00000142957.5', 'ENSMUST00000201980.4', 'ENSMUST00000144673.2', 'ENSMUST00000120591.7', 'ENSMUST00000197787.4', 'ENSMUST00000202283.4']",['protein_coding']
chr5_65460572_65468392_-,26,2115,chr5,65460572,65468392,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000196121.1', 'ENSMUST00000139122.7', 'ENSMUST00000121661.7', 'ENSMUST00000040532.11', 'ENSMUST00000149167.1']","['ENSMUST00000139122.7', 'ENSMUST00000121661.7', 'ENSMUST00000040532.11', 'ENSMUST00000149167.1']","['ENSMUST00000040532.11', 'ENSMUST00000121661.7', 'ENSMUST00000139122.7', 'ENSMUST00000149167.1']","['ENSMUST00000144562.1', 'ENSMUST00000196121.1']",[],"['nonsense_mediated_decay', 'protein_coding', 'retained_intron']","['ENSMUSG00000105835.1', 'ENSMUSG00000037822.12']","['Gm43552', 'Smim14']","['ENSMUST00000040532.11', 'ENSMUST00000139122.7', 'ENSMUST00000196121.1', 'ENSMUST00000121661.7', 'ENSMUST00000149167.1', 'ENSMUST00000144562.1']","['ENSMUST00000040532.11', 'ENSMUST00000121661.7', 'ENSMUST00000139122.7', 'ENSMUST00000149167.1']",['protein_coding']
chr5_65468501_65492735_-,25,2019,chr5,65468501,65492735,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000196121.1', 'ENSMUST00000139122.7', 'ENSMUST00000040532.11', 'ENSMUST00000144562.1']","['ENSMUST00000196121.1', 'ENSMUST00000139122.7', 'ENSMUST00000121661.7', 'ENSMUST00000040532.11', 'ENSMUST00000149167.1', 'ENSMUST00000125954.2', 'ENSMUST00000144562.1']","['ENSMUST00000040532.11', 'ENSMUST00000144562.1', 'ENSMUST00000196121.1', 'ENSMUST00000139122.7']",[],"['ENSMUST00000149167.1', 'ENSMUST00000125954.2', 'ENSMUST00000121661.7']","['nonsense_mediated_decay', 'protein_coding', 'retained_intron']","['ENSMUSG00000105835.1', 'ENSMUSG00000037822.12']","['Gm43552', 'Smim14']","['ENSMUST00000040532.11', 'ENSMUST00000144562.1', 'ENSMUST00000196121.1', 'ENSMUST00000139122.7']","['ENSMUST00000125954.2', 'ENSMUST00000040532.11', 'ENSMUST00000139122.7', 'ENSMUST00000196121.1', 'ENSMUST00000121661.7', 'ENSMUST00000149167.1', 'ENSMUST00000144562.1']",['protein_coding']
chr5_114809331_114813779_-,5,232,chr5,114809331,114813779,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000112160.3', 'ENSMUST00000061251.5']","['ENSMUST00000112160.3', 'ENSMUST00000140374.1']",['ENSMUST00000112160.3'],['ENSMUST00000061251.5'],['ENSMUST00000140374.1'],['protein_coding'],"['ENSMUSG00000072694.7', 'ENSMUSG00000092252.1']","['1500011B03Rik', 'Gm20499']","['ENSMUST00000112160.3', 'ENSMUST00000061251.5']","['ENSMUST00000112160.3', 'ENSMUST00000140374.1']",['protein_coding']
chr5_123512707_123517736_-,12,696,chr5,123512707,123517736,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000125652.7', 'ENSMUST00000139398.7', 'ENSMUST00000111587.9', 'ENSMUST00000197682.5', 'ENSMUST00000111586.7']","['ENSMUST00000125652.7', 'ENSMUST00000139398.7', 'ENSMUST00000111587.9', 'ENSMUST00000197682.5']","['ENSMUST00000111587.9', 'ENSMUST00000197682.5', 'ENSMUST00000139398.7', 'ENSMUST00000125652.7', 'ENSMUST00000200247.4']",['ENSMUST00000111586.7'],[],"['nonsense_mediated_decay', 'protein_coding']","['ENSMUSG00000029433.16', 'ENSMUSG00000114278.2']","['Diablo', 'Gm49027']","['ENSMUST00000111587.9', 'ENSMUST00000197682.5', 'ENSMUST00000139398.7', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4']","['ENSMUST00000111587.9', 'ENSMUST00000197682.5', 'ENSMUST00000139398.7', 'ENSMUST00000125652.7', 'ENSMUST00000200247.4']",['protein_coding']
chr5_123518065_123520040_-,12,721,chr5,123518065,123520040,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000125652.7', 'ENSMUST00000139398.7', 'ENSMUST00000111587.9', 'ENSMUST00000197682.5', 'ENSMUST00000200247.4', 'ENSMUST00000145152.7', 'ENSMUST00000111586.7', 'ENSMUST00000031385.6', 'ENSMUST00000125047.1', 'ENSMUST00000149334.1']","['ENSMUST00000125652.7', 'ENSMUST00000139398.7', 'ENSMUST00000111587.9', 'ENSMUST00000197682.5', 'ENSMUST00000200247.4', 'ENSMUST00000145152.7', 'ENSMUST00000111586.7', 'ENSMUST00000031385.6', 'ENSMUST00000125047.1', 'ENSMUST00000149334.1']","['ENSMUST00000111587.9', 'ENSMUST00000145152.7', 'ENSMUST00000197682.5', 'ENSMUST00000031385.6', 'ENSMUST00000139398.7', 'ENSMUST00000125047.1', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4', 'ENSMUST00000149334.1']",[],[],"['nonsense_mediated_decay', 'protein_coding', 'retained_intron']","['ENSMUSG00000029433.16', 'ENSMUSG00000114278.2']","['Diablo', 'Gm49027']","['ENSMUST00000111587.9', 'ENSMUST00000145152.7', 'ENSMUST00000197682.5', 'ENSMUST00000031385.6', 'ENSMUST00000139398.7', 'ENSMUST00000125047.1', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4', 'ENSMUST00000149334.1']","['ENSMUST00000111587.9', 'ENSMUST00000145152.7', 'ENSMUST00000197682.5', 'ENSMUST00000031385.6', 'ENSMUST00000139398.7', 'ENSMUST00000125047.1', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4', 'ENSMUST00000149334.1']",['protein_coding']
chr5_123520172_123523254_-,12,621,chr5,123520172,123523254,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000125652.7', 'ENSMUST00000139398.7', 'ENSMUST00000111587.9', 'ENSMUST00000197682.5', 'ENSMUST00000200247.4', 'ENSMUST00000145152.7', 'ENSMUST00000111586.7', 'ENSMUST00000031385.6', 'ENSMUST00000125047.1']","['ENSMUST00000125652.7', 'ENSMUST00000139398.7', 'ENSMUST00000111587.9', 'ENSMUST00000197682.5', 'ENSMUST00000200247.4', 'ENSMUST00000145152.7', 'ENSMUST00000111586.7', 'ENSMUST00000031385.6', 'ENSMUST00000125047.1']","['ENSMUST00000111587.9', 'ENSMUST00000145152.7', 'ENSMUST00000197682.5', 'ENSMUST00000031385.6', 'ENSMUST00000139398.7', 'ENSMUST00000125047.1', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4']",[],[],"['nonsense_mediated_decay', 'protein_coding', 'retained_intron']","['ENSMUSG00000029433.16', 'ENSMUSG00000114278.2']","['Diablo', 'Gm49027']","['ENSMUST00000111587.9', 'ENSMUST00000145152.7', 'ENSMUST00000197682.5', 'ENSMUST00000031385.6', 'ENSMUST00000139398.7', 'ENSMUST00000125047.1', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4']","['ENSMUST00000111587.9', 'ENSMUST00000145152.7', 'ENSMUST00000197682.5', 'ENSMUST00000031385.6', 'ENSMUST00000139398.7', 'ENSMUST00000125047.1', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4']",['protein_coding']
chr5_123523381_123524070_-,12,465,chr5,123523381,123524070,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000125652.7', 'ENSMUST00000139398.7', 'ENSMUST00000111587.9', 'ENSMUST00000200247.4', 'ENSMUST00000145152.7', 'ENSMUST00000111586.7', 'ENSMUST00000031385.6']","['ENSMUST00000125652.7', 'ENSMUST00000139398.7', 'ENSMUST00000111587.9', 'ENSMUST00000200247.4', 'ENSMUST00000145152.7', 'ENSMUST00000111586.7', 'ENSMUST00000031385.6']","['ENSMUST00000111587.9', 'ENSMUST00000145152.7', 'ENSMUST00000197682.5', 'ENSMUST00000031385.6', 'ENSMUST00000139398.7', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4']",[],[],"['nonsense_mediated_decay', 'protein_coding']","['ENSMUSG00000029433.16', 'ENSMUSG00000114278.2']","['Diablo', 'Gm49027']","['ENSMUST00000111587.9', 'ENSMUST00000145152.7', 'ENSMUST00000197682.5', 'ENSMUST00000031385.6', 'ENSMUST00000139398.7', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4']","['ENSMUST00000111587.9', 'ENSMUST00000145152.7', 'ENSMUST00000197682.5', 'ENSMUST00000031385.6', 'ENSMUST00000139398.7', 'ENSMUST00000125652.7', 'ENSMUST00000111586.7', 'ENSMUST00000200247.4']",['protein_coding']
chr5_137638738_137639121_+,8,253,chr5,137638738,137639121,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000031734.15', 'ENSMUST00000177545.1', 'ENSMUST00000176667.7', 'ENSMUST00000175968.7']","['ENSMUST00000031734.15', 'ENSMUST00000177545.1', 'ENSMUST00000176667.7', 'ENSMUST00000175968.7', 'ENSMUST00000176871.1']","['ENSMUST00000175968.7', 'ENSMUST00000176667.7', 'ENSMUST00000177545.1', 'ENSMUST00000031734.15']",[],['ENSMUST00000176871.1'],"['nonsense_mediated_decay', 'protein_coding']","['ENSMUSG00000029720.9', 'ENSMUSG00000093445.7']","['Gm20605', 'Lrch4']","['ENSMUST00000175968.7', 'ENSMUST00000176667.7', 'ENSMUST00000177545.1', 'ENSMUST00000031734.15']","['ENSMUST00000176667.7', 'ENSMUST00000177545.1', 'ENSMUST00000176871.1', 'ENSMUST00000175968.7', 'ENSMUST00000031734.15']",['protein_coding']
chr5_137639655_137640764_+,8,290,chr5,137639655,137640764,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000031734.15', 'ENSMUST00000177545.1', 'ENSMUST00000176667.7', 'ENSMUST00000175968.7']",['ENSMUST00000176667.7'],['ENSMUST00000176667.7'],"['ENSMUST00000175968.7', 'ENSMUST00000177545.1', 'ENSMUST00000031734.15']",[],"['nonsense_mediated_decay', 'protein_coding']","['ENSMUSG00000029720.9', 'ENSMUSG00000093445.7']","['Gm20605', 'Lrch4']","['ENSMUST00000175968.7', 'ENSMUST00000176667.7', 'ENSMUST00000177545.1', 'ENSMUST00000031734.15']",['ENSMUST00000176667.7'],['protein_coding']
chr6_39592712_39596450_+,19,852,chr6,39592712,39596450,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000135671.7', 'ENSMUST00000119379.1', 'ENSMUST00000146793.1']","['ENSMUST00000126621.2', 'ENSMUST00000135671.7', 'ENSMUST00000119379.1', 'ENSMUST00000002490.6', 'ENSMUST00000146793.1']","['ENSMUST00000119379.1', 'ENSMUST00000146793.1', 'ENSMUST00000002490.6', 'ENSMUST00000135671.7']",[],['ENSMUST00000126621.2'],"['nonsense_mediated_decay', 'processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000107071.1', 'ENSMUSG00000002416.13']","['Gm42420', 'Ndufb2']","['ENSMUST00000119379.1', 'ENSMUST00000146793.1', 'ENSMUST00000002490.6', 'ENSMUST00000135671.7']","['ENSMUST00000119379.1', 'ENSMUST00000146793.1', 'ENSMUST00000126621.2', 'ENSMUST00000135671.7', 'ENSMUST00000002490.6']",['protein_coding']
chr6_39596595_39598265_+,20,1177,chr6,39596595,39598265,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000126621.2', 'ENSMUST00000135671.7', 'ENSMUST00000119379.1', 'ENSMUST00000002490.6']","['ENSMUST00000135671.7', 'ENSMUST00000119379.1', 'ENSMUST00000002490.6', 'ENSMUST00000128064.1']","['ENSMUST00000119379.1', 'ENSMUST00000002490.6', 'ENSMUST00000135671.7']",['ENSMUST00000126621.2'],['ENSMUST00000128064.1'],"['nonsense_mediated_decay', 'processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000107071.1', 'ENSMUSG00000002416.13']","['Gm42420', 'Ndufb2']","['ENSMUST00000119379.1', 'ENSMUST00000126621.2', 'ENSMUST00000135671.7', 'ENSMUST00000002490.6']","['ENSMUST00000119379.1', 'ENSMUST00000128064.1', 'ENSMUST00000002490.6', 'ENSMUST00000135671.7']",['protein_coding']
chr6_87819643_87821507_-,11,299,chr6,87819643,87821507,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000204169.1', 'ENSMUST00000089497.6', 'ENSMUST00000204881.2']","['ENSMUST00000204169.1', 'ENSMUST00000089497.6']","['ENSMUST00000204169.1', 'ENSMUST00000089497.6']","['ENSMUST00000204419.1', 'ENSMUST00000203429.1', 'ENSMUST00000204881.2']",[],"['nonsense_mediated_decay', 'protein_coding', 'retained_intron']","['ENSMUSG00000107928.1', 'ENSMUSG00000030056.8']","['Gm45140', 'Isy1']","['ENSMUST00000203429.1', 'ENSMUST00000204169.1', 'ENSMUST00000204419.1', 'ENSMUST00000089497.6', 'ENSMUST00000204881.2']","['ENSMUST00000204169.1', 'ENSMUST00000089497.6']",['protein_coding']
chr6_87821629_87822339_-,11,319,chr6,87821629,87822339,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000204419.1', 'ENSMUST00000089497.6', 'ENSMUST00000204881.2', 'ENSMUST00000203429.1']","['ENSMUST00000204419.1', 'ENSMUST00000089497.6', 'ENSMUST00000204881.2', 'ENSMUST00000203429.1']","['ENSMUST00000204419.1', 'ENSMUST00000203429.1', 'ENSMUST00000204881.2', 'ENSMUST00000089497.6']",['ENSMUST00000205070.2'],['ENSMUST00000204169.1'],"['nonsense_mediated_decay', 'protein_coding', 'retained_intron']","['ENSMUSG00000107928.1', 'ENSMUSG00000030056.8']","['Gm45140', 'Isy1']","['ENSMUST00000203429.1', 'ENSMUST00000204419.1', 'ENSMUST00000089497.6', 'ENSMUST00000205070.2', 'ENSMUST00000204881.2']","['ENSMUST00000203429.1', 'ENSMUST00000204169.1', 'ENSMUST00000204419.1', 'ENSMUST00000089497.6', 'ENSMUST00000204881.2']",['protein_coding']
chr6_87822462_87825370_-,11,298,chr6,87822462,87825370,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000204419.1', 'ENSMUST00000089497.6', 'ENSMUST00000204881.2', 'ENSMUST00000205070.2']","['ENSMUST00000204419.1', 'ENSMUST00000089497.6', 'ENSMUST00000204881.2', 'ENSMUST00000205070.2']","['ENSMUST00000204419.1', 'ENSMUST00000205070.2', 'ENSMUST00000204881.2', 'ENSMUST00000089497.6']",[],['ENSMUST00000203429.1'],"['nonsense_mediated_decay', 'protein_coding', 'retained_intron']","['ENSMUSG00000107928.1', 'ENSMUSG00000030056.8']","['Gm45140', 'Isy1']","['ENSMUST00000204419.1', 'ENSMUST00000205070.2', 'ENSMUST00000204881.2', 'ENSMUST00000089497.6']","['ENSMUST00000203429.1', 'ENSMUST00000204419.1', 'ENSMUST00000089497.6', 'ENSMUST00000205070.2', 'ENSMUST00000204881.2']",['protein_coding']
chr6_124739413_124740518_-,31,1885,chr6,124739413,124740518,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000129823.1', 'ENSMUST00000004389.5', 'ENSMUST00000137318.1', 'ENSMUST00000129411.6']","['ENSMUST00000004389.5', 'ENSMUST00000137318.1', 'ENSMUST00000129411.6']","['ENSMUST00000137318.1', 'ENSMUST00000004389.5', 'ENSMUST00000129411.6']",['ENSMUST00000129823.1'],[],"['nonsense_mediated_decay', 'processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000072772.3', 'ENSMUSG00000107478.1']","['Grcc10', 'Gm45234']","['ENSMUST00000004389.5', 'ENSMUST00000129823.1', 'ENSMUST00000137318.1', 'ENSMUST00000129411.6']","['ENSMUST00000137318.1', 'ENSMUST00000004389.5', 'ENSMUST00000129411.6']",['protein_coding']
chr6_124740695_124740919_-,31,2776,chr6,124740695,124740919,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000004389.5', 'ENSMUST00000140423.1']","['ENSMUST00000129823.1', 'ENSMUST00000004389.5', 'ENSMUST00000140423.1', 'ENSMUST00000129411.6']","['ENSMUST00000140423.1', 'ENSMUST00000004389.5']",[],"['ENSMUST00000137318.1', 'ENSMUST00000129823.1', 'ENSMUST00000129411.6']","['nonsense_mediated_decay', 'processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000072772.3', 'ENSMUSG00000107478.1']","['Grcc10', 'Gm45234']","['ENSMUST00000140423.1', 'ENSMUST00000004389.5']","['ENSMUST00000129823.1', 'ENSMUST00000004389.5', 'ENSMUST00000137318.1', 'ENSMUST00000129411.6', 'ENSMUST00000140423.1']",['protein_coding']
chr7_30641220_30641307_-,23,1246,chr7,30641220,30641307,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000108141.1', 'ENSMUST00000042726.13', 'ENSMUST00000146232.1']","['ENSMUST00000108141.1', 'ENSMUST00000042726.13', 'ENSMUST00000146232.1']","['ENSMUST00000146232.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']",[],[],"['protein_coding', 'retained_intron']","['ENSMUSG00000036733.16', 'ENSMUSG00000094365.1']","['Rbm42', 'Gm21982']","['ENSMUST00000146232.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['ENSMUST00000146232.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['processed_transcript', 'protein_coding']"
chr7_30641502_30644498_-,24,1424,chr7,30641502,30644498,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000108141.1', 'ENSMUST00000042726.13', 'ENSMUST00000146232.1']","['ENSMUST00000108141.1', 'ENSMUST00000042726.13', 'ENSMUST00000146232.1']","['ENSMUST00000146232.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']",[],[],"['protein_coding', 'retained_intron']","['ENSMUSG00000036733.16', 'ENSMUSG00000094365.1']","['Rbm42', 'Gm21982']","['ENSMUST00000146232.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['ENSMUST00000146232.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['processed_transcript', 'protein_coding']"
chr7_30644616_30644825_-,24,1738,chr7,30644616,30644825,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000108141.1', 'ENSMUST00000042726.13', 'ENSMUST00000146232.1', 'ENSMUST00000140550.1']","['ENSMUST00000108141.1', 'ENSMUST00000042726.13', 'ENSMUST00000146232.1', 'ENSMUST00000140550.1']","['ENSMUST00000146232.1', 'ENSMUST00000140550.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']",[],[],"['protein_coding', 'retained_intron']","['ENSMUSG00000036733.16', 'ENSMUSG00000094365.1']","['Rbm42', 'Gm21982']","['ENSMUST00000146232.1', 'ENSMUST00000140550.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['ENSMUST00000146232.1', 'ENSMUST00000140550.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['processed_transcript', 'protein_coding']"
chr7_30645158_30645666_-,22,2066,chr7,30645158,30645666,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000108141.1', 'ENSMUST00000042726.13', 'ENSMUST00000146232.1', 'ENSMUST00000140550.1']","['ENSMUST00000108141.1', 'ENSMUST00000042726.13', 'ENSMUST00000146232.1', 'ENSMUST00000140550.1']","['ENSMUST00000146232.1', 'ENSMUST00000140550.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']",[],[],"['protein_coding', 'retained_intron']","['ENSMUSG00000036733.16', 'ENSMUSG00000094365.1']","['Rbm42', 'Gm21982']","['ENSMUST00000146232.1', 'ENSMUST00000140550.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['ENSMUST00000146232.1', 'ENSMUST00000140550.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['processed_transcript', 'protein_coding']"
chr7_30645821_30647559_-,15,755,chr7,30645821,30647559,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000108141.1', 'ENSMUST00000042726.13', 'ENSMUST00000146232.1']",['ENSMUST00000108141.1'],"['ENSMUST00000146232.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']",[],['ENSMUST00000140550.1'],"['protein_coding', 'retained_intron']","['ENSMUSG00000036733.16', 'ENSMUSG00000094365.1']","['Rbm42', 'Gm21982']","['ENSMUST00000146232.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['ENSMUST00000146232.1', 'ENSMUST00000140550.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['processed_transcript', 'protein_coding']"
chr7_30645842_30645918_-,16,1187,chr7,30645842,30645918,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000042726.13', 'ENSMUST00000146232.1', 'ENSMUST00000140550.1']","['ENSMUST00000042726.13', 'ENSMUST00000146232.1', 'ENSMUST00000140550.1']","['ENSMUST00000146232.1', 'ENSMUST00000042726.13', 'ENSMUST00000140550.1']",[],['ENSMUST00000108141.1'],"['protein_coding', 'retained_intron']","['ENSMUSG00000036733.16', 'ENSMUSG00000094365.1']","['Rbm42', 'Gm21982']","['ENSMUST00000146232.1', 'ENSMUST00000042726.13', 'ENSMUST00000140550.1']","['ENSMUST00000146232.1', 'ENSMUST00000140550.1', 'ENSMUST00000108141.1', 'ENSMUST00000042726.13']","['processed_transcript', 'protein_coding']"
